Time: 109.000000, Points: 2.371166, Fuel Used: 42.234535
SPH1: Time: 105.000000, Points: 3.752099, Fuel Used: 42.677265
Time: 106.000000, Points: 3.850690, Fuel Used: 42.773922
Time: 107.000000, Points: 3.850690, Fuel Used: 43.579121
Time: 108.000000, Points: 3.949456, Fuel Used: 43.925194
Time: 109.000000, Points: 4.048192, Fuel Used: 44.195320
SPH2: Time: 110.000000, Points: 2.449937, Fuel Used: 42.621170
Time: 111.000000, Points: 2.519968, Fuel Used: 42.914597
Time: 112.000000, Points: 2.519968, Fuel Used: 43.867371
Time: 113.000000, Points: 2.603192, Fuel Used: 44.361019
Time: 114.000000, Points: 2.670908, Fuel Used: 44.839134
SPH1: Time: 110.000000, Points: 4.147042, Fuel Used: 44.343758
Time: 111.000000, Points: 4.245833, Fuel Used: 44.447323
Time: 112.000000, Points: 4.245833, Fuel Used: 45.392330
Time: 113.000000, Points: 4.344346, Fuel Used: 45.724594
Time: 114.000000, Points: 4.442853, Fuel Used: 45.967102
SPH2: Time: 115.000000, Points: 2.748311, Fuel Used: 45.289631
Time: 116.000000, Points: 2.812370, Fuel Used: 45.747032
Time: 117.000000, Points: 2.887281, Fuel Used: 46.171638
Time: 118.000000, Points: 2.887281, Fuel Used: 47.157207
Time: 119.000000, Points: 2.977830, Fuel Used: 47.737160
SPH1: Time: 115.000000, Points: 4.541410, Fuel Used: 46.128487
Time: 116.000000, Points: 4.639944, Fuel Used: 46.200981
Time: 117.000000, Points: 4.738501, Fuel Used: 46.257938
Time: 118.000000, Points: 4.738501, Fuel Used: 47.191730
Time: 119.000000, Points: 4.837129, Fuel Used: 47.547295
SPH2: Time: 120.000000, Points: 3.072771, Fuel Used: 48.241161
Time: 121.000000, Points: 3.171876, Fuel Used: 48.679577
Time: 122.000000, Points: 3.275725, Fuel Used: 49.064484
Time: 123.000000, Points: 3.275725, Fuel Used: 49.856739
Time: 124.000000, Points: 3.393916, Fuel Used: 50.731842
SPH1: Time: 120.000000, Points: 4.935710, Fuel Used: 47.827774
Time: 121.000000, Points: 5.034376, Fuel Used: 47.979668
Time: 122.000000, Points: 5.133057, Fuel Used: 48.083229
Time: 123.000000, Points: 5.133057, Fuel Used: 49.306129
Time: 124.000000, Points: 5.231936, Fuel Used: 49.717793
SPH2: Time: 125.000000, Points: 3.520190, Fuel Used: 51.230667
Time: 126.000000, Points: 3.648341, Fuel Used: 51.703606
Time: 127.000000, Points: 3.773125, Fuel Used: 52.147198
Time: 128.000000, Points: 3.896060, Fuel Used: 52.566624
Time: 129.000000, Points: 3.995214, Fuel Used: 53.170738
SPH1: Time: 125.000000, Points: 5.330753, Fuel Used: 50.040562
Time: 126.000000, Points: 5.429361, Fuel Used: 50.249413
Time: 127.000000, Points: 5.527899, Fuel Used: 50.365059
Time: 128.000000, Points: 5.626464, Fuel Used: 50.443592
Time: 129.000000, Points: 5.725026, Fuel Used: 50.474663
SPH2: Time: 130.000000, Points: 4.074130, Fuel Used: 53.666115
Time: 131.000000, Points: 4.137077, Fuel Used: 54.068283
Time: 132.000000, Points: 4.187315, Fuel Used: 54.394505
Time: 133.000000, Points: 4.248923, Fuel Used: 54.895058
Time: 134.000000, Points: 4.248923, Fuel Used: 55.780518
SPH1: Time: 130.000000, Points: 5.823627, Fuel Used: 50.493649
Time: 131.000000, Points: 5.922229, Fuel Used: 50.493649
Time: 132.000000, Points: 6.020833, Fuel Used: 50.517815
Time: 133.000000, Points: 6.119459, Fuel Used: 50.543705
Time: 134.000000, Points: 6.119459, Fuel Used: 51.386875
SPH2: Time: 135.000000, Points: 4.324192, Fuel Used: 56.277618
Time: 136.000000, Points: 4.384993, Fuel Used: 56.717758
Time: 137.000000, Points: 4.455058, Fuel Used: 57.168255
Time: 138.000000, Points: 4.512815, Fuel Used: 57.592861
Time: 139.000000, Points: 4.560441, Fuel Used: 57.941521
SPH1: Time: 135.000000, Points: 6.217978, Fuel Used: 51.645782
Time: 136.000000, Points: 6.316557, Fuel Used: 51.855495
Time: 137.000000, Points: 6.415158, Fuel Used: 51.957333
Time: 138.000000, Points: 6.513758, Fuel Used: 52.043633
Time: 139.000000, Points: 6.612353, Fuel Used: 52.081608
SPH2: Time: 140.000000, Points: 4.599388, Fuel Used: 58.228046
